,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
50,Albany,75,US,1505260680,72,42.65,-73.76,66.2,3.6
51,Dakar,0,SN,1505260800,88,14.69,-17.44,82.4,5.82
52,Huron,1,US,1505260500,48,44.36,-98.21,86.0,9.17
53,Cape Town,0,ZA,1505260800,87,-33.93,18.42,50.0,2.24
54,Kabuko,0,ZM,1505263744,53,-11.57,31.29,59.85,12.66
55,Yangambi,20,CD,1505263744,98,0.81,24.43,72.9,2.26
56,Upernavik,68,GL,1505263744,100,72.79,-56.15,35.55,4.16
57,Rikitea,0,PF,1505263484,100,-23.12,-134.97,70.11,11.43
58,Oktyabrskoye,0,RU,1505263745,81,43.06,44.74,56.88,2.26
59,Ponta do Sol,20,PT,1505262600,60,32.67,-17.1,73.4,18.34
60,Georgetown,75,GY,1505260800,78,6.8,-58.16,82.4,9.17
61,Miramar,1,US,1505260380,62,25.99,-80.23,87.8,5.82
62,Paluan,92,PH,1505263745,100,13.42,120.46,75.87,14.67
63,Mitu,12,CO,1505263745,91,1.2,-70.17,76.77,3.6
64,Butaritari,12,KI,1505263745,97,3.07,172.79,85.59,16.46
65,Tautira,20,PF,1505260800,58,-17.73,-149.15,82.4,10.29
66,Ozamiz City,8,PH,1505263746,89,8.15,123.84,80.46,3.38
67,Minna,56,NG,1505263746,100,9.61,6.56,70.47,5.39
68,Taitung,75,TW,1505262600,62,22.76,121.14,86.0,3.36
69,Vaini,75,TO,1505260800,78,-21.2,-175.2,73.4,10.2
70,Campbell River,40,CA,1505260800,45,50.02,-125.24,66.2,8.05
71,Tuatapere,88,NZ,1505263747,95,-46.13,167.68,52.65,7.07
72,Rajsamand,0,IN,1505263747,92,25.07,73.88,68.13,2.59
73,Sola,0,VU,1505263747,90,-13.88,167.55,82.08,16.24
74,Lompoc,1,US,1505262900,57,34.64,-120.46,77.0,14.99
75,Cam Ranh,8,VN,1505263747,96,11.92,109.16,80.55,3.15
76,Kodiak,90,US,1505261640,81,57.79,-152.41,53.6,13.87
77,Punta Arenas,40,CL,1505260800,74,-53.15,-70.92,37.4,28.86
78,Maloy,92,NO,1505262000,93,61.94,5.11,51.8,9.17
79,Barentu,0,ER,1505263748,92,15.11,37.59,63.99,2.71
80,Trevi,40,IT,1505262000,77,41.9,12.49,68.0,5.82
81,Gyanpur,56,IN,1505263459,90,25.35,82.47,78.3,4.05
82,Songjianghe,0,CN,1505263748,78,42.19,127.48,52.83,3.6
83,Kapaa,20,US,1505260560,55,22.08,-159.32,87.8,14.99
84,Tsiombe,0,MG,1505263748,94,-25.3,45.48,56.7,3.6
85,Puerto Ayora,40,EC,1505260800,73,-0.74,-90.35,71.6,17.22
86,Seoul,0,KR,1505262600,40,37.57,126.98,71.6,9.17
87,Krasnyy Bor,90,RU,1505260800,87,59.68,30.67,60.8,6.71
88,Xinghua,0,CN,1505263749,85,32.94,119.83,73.53,7.96
89,Great Yarmouth,92,GB,1505262000,93,52.61,1.73,55.4,16.11
90,Aykhal,0,RU,1505263749,86,66.0,111.5,29.97,3.38
91,Atuona,0,PF,1505263749,100,-9.8,-139.03,79.02,9.19
92,Otradnoye,90,RU,1505260800,87,59.78,30.82,60.8,6.71
93,Pevek,80,RU,1505263750,100,69.7,170.31,38.34,16.58
94,Fortuna,1,US,1505262900,82,40.6,-124.16,60.8,10.29
95,Aquiraz,75,BR,1505260800,78,-3.9,-38.39,80.6,10.29
96,Chicama,90,PE,1505260800,88,-7.84,-79.15,62.6,10.29
97,East London,80,ZA,1505263750,100,-33.02,27.91,69.57,1.14
98,Ust-Nera,0,RU,1505263478,73,64.57,143.2,36.9,2.59
99,Qaanaaq,68,GL,1505263754,100,77.48,-69.36,29.25,2.15
100,Carutapera,0,BR,1505263466,79,-1.2,-46.02,80.73,10.42
101,Linhares,0,BR,1505263754,90,-19.39,-40.07,65.97,5.5
102,Qarqaraly,88,KZ,1505263754,94,49.41,75.47,34.65,9.53
103,San Juan,92,PE,1505263754,100,-15.37,-75.16,57.42,19.82
104,Asau,0,RO,1505262600,60,46.43,26.4,71.6,11.41
105,Tiksi,88,RU,1505263754,100,71.69,128.87,36.72,4.27
106,Starobesheve,0,UA,1505263755,50,47.75,38.03,71.28,9.08
107,Heihe,75,CN,1505260800,100,50.24,127.49,50.0,6.71
108,Srednekolymsk,80,RU,1505263755,76,67.45,153.68,35.1,7.18
109,Walvis Bay,48,NA,1505260800,87,-22.96,14.51,55.4,5.82
110,Barrow,90,US,1505260380,93,71.29,-156.79,39.2,19.46
111,Liliani,0,PK,1505263756,88,32.21,72.95,74.43,4.72
112,Margate,92,GB,1505262000,100,51.38,1.39,60.8,40.26
113,Koltubanovskiy,0,RU,1505263756,81,52.94,52.03,54.0,7.96
114,Jamestown,1,US,1505260560,63,42.1,-79.24,66.2,4.7
115,Altamira,0,BR,1505260800,100,-3.2,-52.21,73.4,2.71
116,Mudgee,44,AU,1505263756,60,-32.59,149.59,68.4,14.79
117,Deputatskiy,20,RU,1505263757,76,69.3,139.9,29.43,3.94
118,Monrovia,75,LR,1505260800,94,6.3,-10.8,75.2,13.44
119,Vila Velha,20,BR,1505260800,83,-20.33,-40.29,71.6,6.93
120,Bredasdorp,76,ZA,1505260800,87,-34.53,20.04,50.0,5.82
121,Kahului,40,US,1505260560,49,20.89,-156.47,89.6,10.29
122,Aklavik,20,CA,1505260800,50,68.22,-135.01,55.4,9.17
123,Saldanha,44,ZA,1505260800,81,-33.01,17.94,50.0,3.36
124,Bethel,1,US,1505260560,88,41.37,-73.41,71.6,3.36
125,Maningrida,0,AU,1505263758,75,-12.07,134.27,81.36,7.74
126,Tura,80,IN,1505263758,97,25.52,90.22,75.87,2.04
127,Nizhnekamsk,90,RU,1505260800,100,55.64,51.82,51.8,4.47
128,Faanui,56,PF,1505263758,100,-16.48,-151.75,77.94,13.44
129,Saint-Augustin,92,CA,1505263759,100,51.23,-58.65,50.13,10.87
130,Préfecture de l’ Ouham-Pendé,80,CF,1505263759,95,7.0,16.0,67.05,3.71
131,Svencioneliai,92,LT,1505263759,100,55.17,26.0,56.16,15.46
132,Meulaboh,12,ID,1505263759,100,4.14,96.13,77.85,4.16
133,Hilo,40,US,1505260560,69,19.73,-155.09,82.4,12.75
134,Chippewa Falls,1,US,1505262900,73,44.94,-91.39,75.2,3.36
135,Thompson,75,CA,1505260800,50,55.74,-97.86,57.2,8.05
136,Severo-Kurilsk,8,RU,1505263760,90,50.68,156.12,51.3,10.42
137,Saint-Pierre,20,RE,1505260800,59,-21.34,55.48,66.2,5.82
138,Hobart,75,AU,1505260800,76,-42.88,147.33,50.0,6.93
139,Shimoda,40,JP,1505260800,65,34.67,138.95,82.4,6.93
140,Prachatice,20,CZ,1505263745,84,49.01,14.0,47.97,10.42
141,Samfya,0,ZM,1505263760,44,-11.37,29.56,67.32,14.67
142,Shucheng Chengguanzhen,0,CN,1505260800,94,31.44,116.95,71.6,6.71
143,Taoudenni,32,ML,1505263761,18,22.68,-3.98,88.65,9.98
144,Sumbawa Besar,8,ID,1505263761,95,-8.5,117.43,76.86,8.97
145,Price,90,US,1505261700,49,39.6,-110.81,68.0,21.92
146,Khatanga,44,RU,1505263761,83,71.97,102.5,37.89,15.01
147,Gayny,68,RU,1505263764,97,60.31,54.32,39.24,4.72
148,Kutum,24,SD,1505263764,42,14.2,24.67,76.77,8.97
149,Torbay,90,CA,1505261760,100,47.67,-52.73,53.6,3.49
150,Horta,36,PT,1505263765,100,38.53,-28.63,72.09,12.77
151,Bathsheba,40,BB,1505260800,88,13.22,-59.52,78.8,19.46
152,Bambous Virieux,75,MU,1505260800,78,-20.34,57.76,71.6,9.17
153,Yerky,0,UA,1505263765,84,48.99,30.99,65.97,11.43
154,Port Elizabeth,75,ZA,1505260800,88,-33.92,25.57,62.6,3.36
155,Bolgar,44,RU,1505260800,93,54.95,49.07,53.6,4.47
156,Mitsukaido,40,JP,1505262600,65,36.02,139.98,82.4,6.93
157,North Bend,1,US,1505261700,72,43.41,-124.22,64.4,19.46
158,Icod de los Vinos,8,ES,1505262600,93,28.37,-16.71,71.6,2.24
159,Roald,92,NO,1505262000,93,62.58,6.13,53.6,5.82
160,Ribeira Grande,36,PT,1505263766,100,38.52,-28.7,72.09,12.77
161,Seaham,75,GB,1505262000,100,54.84,-1.35,51.8,12.75
162,Cherskiy,80,RU,1505263767,92,68.75,161.3,37.53,10.76
163,Kazanka,0,UA,1505262600,77,47.85,32.82,69.8,8.95
164,Nome,90,US,1505260380,93,64.5,-165.41,46.4,6.93
165,Longjiang,0,CN,1505263767,77,47.33,123.18,54.45,7.85
166,Mar del Plata,0,AR,1505260800,93,-38.0,-57.56,50.0,5.82
167,Bianzhuang,0,CN,1505263767,82,34.85,118.04,69.93,5.95
168,Baykit,92,RU,1505263767,97,61.67,96.37,45.9,6.06
169,Al Ghardaqah,0,EG,1505260800,25,27.26,33.81,89.6,11.41
170,Bowen,88,AU,1505260800,53,-20.02,148.23,77.0,6.93
171,Wewak,32,PG,1505263768,73,-3.55,143.63,85.41,2.71
172,San Vicente,8,AR,1505263768,93,-26.62,-54.13,68.67,2.59
173,Souillac,75,MU,1505260800,78,-20.52,57.52,71.6,9.17
174,Casper,1,US,1505260380,21,42.87,-106.31,87.8,6.93
175,Hami,88,CN,1505263769,51,42.8,93.45,65.16,2.59
176,Bay Roberts,90,CA,1505261760,100,47.6,-53.26,53.6,4.83
177,Samarai,92,PG,1505263769,100,-10.62,150.67,77.94,15.68
178,Mount Gambier,92,AU,1505263769,99,-37.83,140.77,47.88,8.75
179,La Baneza,0,ES,1505263769,83,42.3,-5.9,50.04,4.61
180,Olga,0,RU,1505263769,68,43.74,135.29,59.13,6.51
181,Fairbanks,40,US,1505260680,55,64.84,-147.72,62.6,3.36
182,Gimli,0,CA,1505263770,63,50.63,-96.99,79.11,3.71
183,Kentau,0,KZ,1505263770,74,43.52,68.51,35.01,2.93
184,Aden,44,YE,1505263590,91,12.78,45.04,87.21,6.62
185,Teriberka,88,RU,1505263770,96,69.16,35.15,41.67,8.41
186,Castro,8,BR,1505263490,66,-24.79,-50.01,65.52,4.72
187,Fort Nelson,40,CA,1505260800,47,58.81,-122.7,59.0,4.7
188,Saint-Philippe,20,RE,1505260800,59,-21.36,55.77,66.2,5.82
189,Fuzhou,90,CN,1505260800,74,26.06,119.31,80.6,22.37
190,Half Moon Bay,90,US,1505262900,82,37.46,-122.43,87.8,8.05
191,Zhangjiakou,56,CN,1505263771,86,40.81,114.88,56.61,2.71
192,Provideniya,0,RU,1505260800,48,64.38,-173.3,44.6,4.47
193,Santa Rita,40,BR,1505260800,94,-7.11,-34.98,73.4,4.7
194,Naze,75,JP,1505260800,79,28.37,129.48,86.0,13.87
195,Kropotkin,0,RU,1505263772,60,45.44,40.58,71.46,9.75
196,Alexandria,0,EG,1505260800,69,31.22,29.96,80.6,11.41
197,Mount Isa,0,AU,1505260800,29,-20.73,139.5,87.8,10.29
198,Damaia,0,PT,1505262600,82,38.75,-9.21,66.2,12.75
199,Kuusamo,90,FI,1505262000,93,65.97,29.18,44.6,3.36
200,East Wenatchee Bench,1,US,1505260500,15,47.43,-120.28,89.6,12.75
201,Esperance,32,AU,1505263776,67,-33.87,121.9,52.47,3.49
202,Hithadhoo,76,MV,1505263776,100,-0.6,73.08,82.26,8.63
203,Bongandanga,64,CD,1505263776,92,1.5,21.05,74.52,2.59
204,Te Anau,88,NZ,1505263776,95,-45.42,167.72,47.97,8.19
205,Flinders,0,AU,1505260800,10,-34.58,150.86,84.2,26.4
206,Jinotega,36,NI,1505263777,93,13.09,-86.0,72.54,1.7
207,Muravlenko,48,RU,1505263777,94,63.79,74.52,33.84,8.75
208,Northam,40,GB,1505262000,77,51.03,-4.22,59.0,19.46
209,Clyde River,90,CA,1505263320,100,70.47,-68.59,32.0,5.82
210,Bardiyah,0,LY,1505263777,100,31.76,25.09,76.23,10.31
211,Coihaique,75,CL,1505260800,61,-45.58,-72.07,50.0,6.93
212,Ilulissat,56,GL,1505260200,43,69.22,-51.1,35.6,3.36
213,Lieksa,56,FI,1505263778,94,63.32,30.02,52.65,5.17
214,Lai,32,TD,1505263778,79,9.4,16.3,77.58,3.71
215,Sainte-Rose,20,GP,1505260800,78,16.33,-61.7,82.4,9.17
216,San Cristobal,40,VE,1505260800,70,7.77,-72.22,84.2,4.7
217,Cimaja,12,ID,1505263778,100,-6.95,106.49,77.4,16.69
218,Gamba,76,GA,1505263779,83,-2.65,10.0,74.79,7.63
219,Terrak,88,NO,1505262000,82,65.09,12.37,55.4,12.75
220,Herat,0,AF,1505263779,53,34.35,62.2,51.93,5.95
221,Hinche,92,HT,1505263779,99,19.15,-72.02,71.37,2.71
222,Carballo,92,ES,1505262600,82,43.21,-8.69,66.2,5.82
223,Hwange,0,ZW,1505263779,55,-18.37,26.5,57.78,2.93
224,Bilma,0,NE,1505263780,16,18.69,12.92,73.08,10.98
225,Ntungamo,68,UG,1505263780,100,-0.88,29.65,66.24,4.16
226,Geraldton,0,AU,1505260800,47,-28.77,114.6,57.2,17.22
227,Pangnirtung,92,CA,1505263780,94,66.15,-65.71,36.36,21.05
228,Chapais,75,CA,1505260800,52,49.78,-74.85,64.4,6.93
229,Bud,90,US,1505261700,56,39.45,-86.18,69.8,14.99
230,Varnek,56,RU,1505263487,100,69.71,60.05,41.13,14.0
231,Constitucion,0,CL,1505263781,99,-35.33,-72.42,50.85,6.17
232,Shancheng,0,CN,1505263781,88,34.8,116.08,68.31,8.19
233,Hofn,44,IS,1505263781,100,64.25,-15.21,47.25,7.07
234,La Rioja,0,ES,1505263781,81,42.25,-2.5,43.65,2.26
235,Jumla,32,NP,1505263781,78,29.27,82.18,35.28,2.93
236,Ouadda,44,CF,1505263781,98,8.08,22.4,66.78,6.73
237,Quatre Cocos,75,MU,1505260800,78,-20.21,57.76,71.6,9.17
238,Kungurtug,8,RU,1505263782,76,50.6,97.52,38.25,2.37
239,Avarua,20,CK,1505260800,74,-21.21,-159.78,84.2,6.93
240,Narsaq,12,GL,1505260200,69,60.92,-46.05,39.2,3.36
241,Beringovskiy,0,RU,1505263782,100,63.05,179.32,42.93,10.87
242,Kirksville,1,US,1505260500,53,40.19,-92.58,73.4,3.36
243,Isangel,0,VU,1505263782,100,-19.55,169.27,73.08,13.22
244,Mazagao,20,BR,1505260800,78,-0.12,-51.29,82.4,14.99
245,Kaduy,8,RU,1505263786,91,59.2,37.15,61.38,10.98
246,Chuguyevka,12,RU,1505263786,75,44.17,133.86,56.07,4.27
247,Constanza,90,DO,1505260800,78,18.91,-70.75,80.6,4.7
248,Aleksandrov Gay,0,RU,1505263786,73,50.15,48.57,52.47,6.62
249,Moron,0,AR,1505260800,67,-34.65,-58.62,59.0,9.17
250,Khandyga,0,RU,1505263787,80,62.67,135.6,48.24,3.49
251,Balapur,40,IN,1505262600,94,17.31,78.48,75.2,3.36
252,Gaoual,68,GN,1505263787,100,11.75,-13.2,74.52,2.93
253,Mackay,90,AU,1505260800,53,-21.15,149.2,77.0,6.93
254,Haridwar,0,IN,1505263787,92,29.97,78.17,69.03,2.59
255,Vostok,92,RU,1505263788,100,46.49,135.88,51.3,2.82
256,Muros,75,ES,1505262600,100,42.78,-9.06,59.0,2.24
257,Rocha,20,UY,1505263788,86,-34.48,-54.33,48.78,6.73
258,Broome,0,AU,1505260800,39,-17.97,122.23,80.6,9.17
259,Ludwigsburg,0,DE,1505262000,81,48.9,9.19,51.8,5.82
260,Sao Joao da Barra,0,BR,1505260800,78,-21.64,-41.05,71.6,20.8
261,Toamasina,40,MG,1505260800,94,-18.17,49.38,68.0,2.93
262,Port Augusta,75,AU,1505260800,47,-32.5,137.77,59.0,19.46
263,Killybegs,80,IE,1505263789,100,54.63,-8.45,50.85,16.46
264,Tommot,0,RU,1505263789,84,58.96,126.29,47.34,3.15
265,San Patricio,75,MX,1505261160,79,19.22,-104.7,87.8,11.41
266,Severnyy,0,RU,1505260800,60,50.68,36.55,68.0,15.66
267,Los Andes,75,CL,1505261640,71,-32.83,-70.6,51.8,10.29
268,Qiryat Gat,0,IL,1505262000,83,31.61,34.76,75.2,4.7
269,Trinidad,0,CU,1505260740,94,21.8,-79.98,78.8,4.16
270,Western Province,0,ZM,1505263790,41,-15.0,24.0,64.62,7.96
271,Kuala Selangor,75,MY,1505260800,88,3.35,101.25,78.8,4.7
272,Berlevag,92,NO,1505263791,99,70.86,29.09,46.53,10.42
273,Tazovskiy,80,RU,1505263791,89,67.47,78.7,31.68,3.15
274,Taldan,8,RU,1505263791,73,53.67,124.8,53.55,4.38
275,?illat ‘Abd a? ??li?,5,BH,1505262600,75,26.22,50.52,93.2,4.7
276,Maniitsoq,92,GL,1505263791,95,65.42,-52.9,38.16,7.63
277,Taltal,36,CL,1505263791,87,-25.4,-70.48,47.52,3.94
278,Jacqueville,75,CI,1505260800,94,5.21,-4.41,77.0,4.7
279,Springbok,36,ZA,1505263792,54,-29.66,17.89,48.87,3.49
280,Bol’shoy Lug,0,RU,1505260800,93,52.07,104.08,46.4,4.47
281,Banda Aceh,68,ID,1505263792,100,5.56,95.32,74.07,1.81
282,Saint George,1,US,1505260560,13,37.1,-113.58,96.8,13.87
283,Rach Gia,44,VN,1505263508,93,10.02,105.08,81.81,8.63
284,Palmer,20,US,1505260680,87,42.16,-72.33,75.2,3.36
285,Mandalgovi,36,MN,1505263792,54,45.76,106.27,50.4,6.73
286,Jinan,24,CN,1505263793,82,36.67,117.0,69.84,3.83
287,Carmelo,0,UY,1505260800,67,-33.99,-58.29,59.0,9.17
288,Vestmannaeyjar,80,IS,1505263793,100,63.44,-20.27,47.43,9.08
289,Saaremaa,92,EE,1505260200,93,58.25,22.47,59.0,6.93
290,Codrington,92,AU,1505263793,100,-38.27,141.97,51.03,20.6
291,Gornopravdinsk,92,RU,1505263794,75,60.05,69.9,42.75,8.97
292,Ilhabela,64,BR,1505263794,100,-23.78,-45.36,67.68,5.95
293,Fallon,75,US,1505260560,18,39.47,-118.78,87.8,8.05
294,Demmin,0,DE,1505262000,93,53.91,13.03,50.0,9.17
295,Abu Dhabi,0,AE,1505260800,84,24.47,54.37,87.8,4.7
296,Lagoa,0,PT,1505263798,100,39.05,-27.98,72.45,11.99
297,Richards Bay,0,ZA,1505263798,38,-28.78,32.04,78.03,11.65
298,Novopokrovka,0,UA,1505262600,56,49.84,36.55,69.8,11.18
299,Rakaia,24,NZ,1505260800,71,-43.75,172.02,55.4,18.34
300,Almaznyy,56,RU,1505263798,56,48.04,40.05,68.94,11.77
301,Taunggyi,24,MM,1505263798,96,20.78,97.03,62.82,2.26
302,La Union,12,PE,1505263799,79,-5.4,-80.75,67.77,16.69
303,Santiago del Estero,0,AR,1505263799,57,-27.8,-64.26,57.33,8.75
304,Ampanihy,0,MG,1505263799,82,-24.7,44.75,55.8,2.71
305,Zaria,48,NG,1505263799,94,11.11,7.72,69.48,8.75
306,Havre-Saint-Pierre,75,CA,1505260800,93,50.23,-63.6,48.2,2.24
307,Saint-Denis,0,RE,1505260800,59,-20.87,55.47,66.2,8.05
308,Dikson,80,RU,1505263800,100,73.51,80.55,38.97,25.19
309,Kieta,88,PG,1505263800,100,-6.22,155.63,78.3,3.49
310,Willowmore,88,ZA,1505263800,16,-33.29,23.49,81.72,16.46
311,Leningradskiy,88,RU,1505263800,100,69.38,178.42,36.36,14.79
312,Staryy Nadym,76,RU,1505263801,89,65.61,72.68,36.54,9.86
313,Matara,92,LK,1505263801,100,5.95,80.54,73.35,6.85
314,Nishihara,90,JP,1505262600,74,26.18,127.76,86.0,20.8
315,Leirvik,92,NO,1505262000,82,59.78,5.5,55.4,12.75
316,Kavaratti,24,IN,1505263801,100,10.57,72.64,81.27,0.69
317,Touros,32,BR,1505263802,81,-5.2,-35.46,77.4,16.24
318,Okhotsk,0,RU,1505263802,100,59.38,143.3,50.04,4.16
319,Shorapani,0,GE,1505262600,54,42.09,43.09,78.8,18.34
320,Buriti Alegre,0,BR,1505263803,33,-18.14,-49.04,75.15,9.98
321,Klaksvik,12,FO,1505262000,93,62.23,-6.59,50.0,5.82
322,Port Said,0,EG,1505263803,87,31.26,32.28,77.58,6.17
323,Dolbeau-Mistassini,20,CA,1505260800,63,48.88,-72.21,64.4,6.93
324,Maloy,92,NO,1505262000,93,61.94,5.11,51.8,9.17
325,Atherton,75,GB,1505262000,87,53.52,-2.49,59.0,8.05
326,Harper,92,LR,1505263804,100,4.38,-7.72,73.53,7.18
327,Vestmanna,36,FO,1505262000,93,62.16,-7.17,50.0,5.82
328,Grand Gaube,75,MU,1505260800,78,-20.01,57.66,71.6,9.17
329,Cidreira,92,BR,1505263805,100,-30.18,-50.21,62.01,10.76
330,Pyt-Yakh,88,RU,1505263805,71,60.75,72.86,38.25,6.73
331,Ólafsvík,24,IS,1505263805,100,64.89,-23.71,49.05,19.48
332,Belyy,32,RU,1505263805,84,55.84,32.94,62.37,10.09
333,Mareeba,40,AU,1505260800,54,-17.0,145.43,80.6,12.75
334,Kimbe,8,PG,1505263806,94,-5.55,150.14,84.6,6.96
335,Aswan,0,EG,1505263806,33,24.09,32.91,81.27,2.48
336,Moroni,0,KM,1505263806,100,-11.7,43.26,76.05,8.75
337,Ayan,64,RU,1505263806,100,56.45,138.17,52.38,3.38
338,Colquechaca,56,BO,1505263806,80,-18.67,-66.02,47.43,1.59
339,El Alto,32,PE,1505263807,69,-4.27,-81.21,76.5,8.3
340,Axim,92,GH,1505263807,100,4.87,-2.24,74.34,7.52
341,Mayumba,88,GA,1505263807,100,-3.43,10.66,73.53,7.4
342,Lebu,0,CL,1505263807,100,-37.62,-73.65,50.85,19.26
343,Breda,90,NL,1505262300,76,51.59,4.78,59.0,18.34
344,Grande Riviere Sud Est,75,MU,1505260800,78,-20.29,57.78,71.6,9.17
345,Bhinga,56,IN,1505263811,95,27.72,81.93,73.62,5.84
346,Bambanglipuro,24,ID,1505263811,83,-7.95,110.28,71.55,2.37
347,At-Bashi,0,KG,1505263811,83,41.17,75.81,30.24,2.15
348,Adrar,0,DZ,1505260800,10,27.87,-0.29,91.4,11.41
349,Nueva Loja,88,EC,1505263811,90,0.08,-76.88,74.07,2.26
350,Kabugao,80,PH,1505263811,96,18.02,121.18,74.7,5.39
351,Villa Bruzual,48,VE,1505263812,89,9.33,-69.12,76.68,3.27
352,Gambela,80,ET,1505263812,91,8.25,34.58,63.0,2.93
353,Rio Gallegos,0,AR,1505260800,69,-51.62,-69.22,37.4,10.29
354,Coquimbo,90,CL,1505260800,71,-29.95,-71.34,53.6,4.7
355,Luganville,92,VU,1505263812,100,-15.53,167.17,77.13,17.13
356,Daru,92,PG,1505263812,100,-9.08,143.21,77.85,15.23
357,Mabaruma,0,GY,1505263812,79,8.2,-59.78,83.88,8.86
358,Akaa,75,FI,1505262000,93,61.17,23.87,53.6,5.82
359,Mingguang,0,CN,1505263813,97,32.78,117.96,72.63,9.64
360,Talnakh,76,RU,1505263813,93,69.49,88.4,41.67,11.1
361,Blejoiu,0,RO,1505262600,82,45.0,26.02,66.2,9.17
362,Chokurdakh,64,RU,1505263813,85,70.63,147.92,34.74,12.66
363,Tuapse,0,RU,1505263814,83,44.11,39.07,62.1,1.36
364,Opuwo,0,NA,1505263814,82,-18.06,13.84,51.57,3.15
365,Olho d’Agua,0,BR,1505263814,67,-2.88,-39.95,80.28,16.24
366,Gallup,1,US,1505260380,21,35.53,-108.74,82.4,6.93
367,Aksarka,24,RU,1505263815,96,66.56,67.8,32.76,9.42
368,Los Llanos de Aridane,36,ES,1505262600,73,28.66,-17.92,71.6,8.05
369,Tocopilla,48,CL,1505263815,100,-22.09,-70.2,53.46,7.63
370,Bria,92,CF,1505263816,96,6.54,21.99,68.22,5.95
371,Kruisfontein,92,ZA,1505263816,96,-34.0,24.73,61.47,11.65
372,Fastiv,0,UA,1505262600,88,50.08,29.92,64.4,11.18
373,Esmeraldas,0,BR,1505260800,52,-19.76,-44.31,69.8,10.29
